Timestamp,qw,qx,qy,qz,yaw,pitch,roll,label
14357,0.583461,-0.490669,0.444589,0.470265,214.707626,78.605354,-51.423737,2
14477,0.582492,-0.512826,0.431116,0.460264,204.682068,76.985771,-62.97834,2
14597,0.584857,-0.521818,0.421601,0.455954,202.199844,75.696526,-66.141014,2
14717,0.570479,-0.516602,0.428638,0.47322,207.725052,77.956764,-61.73629,2
14837,0.555756,-0.518791,0.430327,0.486623,211.170441,79.490356,-59.93819,2
14957,0.547675,-0.523001,0.42705,0.494108,212.747162,79.933853,-59.686989,2
15077,0.545081,-0.532761,0.419389,0.493109,209.257095,79.302444,-64.273178,2
15199,0.542134,-0.53933,0.414863,0.493045,207.184021,79.00721,-67.152328,2
15319,0.525297,-0.532478,0.42385,0.510757,215.616196,81.582733,-59.786415,2
15439,0.519399,-0.542074,0.416816,0.512481,212.308151,81.337509,-64.491142,2
15559,0.520234,-0.560675,0.397113,0.507241,205.875336,79.105721,-72.795486,2
15679,0.50382,-0.55664,0.401847,0.52424,212.411667,81.318665,-67.664398,2
15799,0.511773,-0.571748,0.387988,0.510538,203.948792,78.790253,-76.570618,2
15919,0.50352,-0.572141,0.390707,0.5162,204.215134,79.78054,-76.965111,2
16041,0.491375,-0.566733,0.396397,0.529364,209.515945,81.719215,-72.468414,2
16161,0.474407,-0.568164,0.395783,0.543576,214.5802,83.317047,-69.311134,2
16281,0.458159,-0.573879,0.391155,0.554744,217.096649,84.346428,-68.97113,2
16401,0.453595,-0.576991,0.386546,0.558486,218.070206,84.356773,-68.926643,2
16521,0.445049,-0.579956,0.386217,0.562503,217.433151,85.020546,-70.478149,2
16641,0.448643,-0.592605,0.371412,0.556402,209.366592,83.080406,-79.595963,2
16761,0.436699,-0.595243,0.369921,0.564029,210.114578,84.019745,-80.21814,2
16883,0.412597,-0.589598,0.37802,0.582435,224.28801,87.128738,-67.691444,2
17003,0.424334,-0.604108,0.360374,0.57019,208.308029,84.126541,-84.180504,2
17123,0.418507,-0.604795,0.358929,0.574662,209.777283,84.582932,-83.433502,2
17248,0.398832,-0.597628,0.369913,0.589007,220.455444,87.543053,-73.652626,2
17368,0.393923,-0.601865,0.368496,0.588885,210.320724,87.674683,-84.399857,2
17488,0.406085,-0.622208,0.350045,0.57045,194.899353,83.811165,-100.346603,2
17608,0.39839,-0.621117,0.354638,0.574215,190.79985,84.79557,-104.77417,2
17730,0.374645,-0.610679,0.367251,0.593153,171.232986,88.440659,-125.465698,2
17850,0.38433,-0.624457,0.348705,0.58373,189.929535,85.608139,-107.571075,2
17970,0.381712,-0.626295,0.344441,0.586005,191.848053,85.545303,-106.30233,2
18090,0.364724,-0.620546,0.352509,0.59802,177.989716,87.910065,-121.03804,2
18210,0.3664,-0.629838,0.342091,0.593314,183.565079,86.436737,-116.265831,2
18330,0.365556,-0.634863,0.334296,0.592922,187.013916,85.753929,-113.611908,2
18450,0.33664,-0.622616,0.349448,0.613922,95.169334,88.723442,153.184052,2
18571,0.316755,-0.619254,0.352878,0.625827,51.421017,87.015289,107.949608,2
18691,0.331958,-0.633723,0.33207,0.614752,151.661835,88.444801,-152.323975,2
18811,0.313708,-0.630844,0.338924,0.623494,78.775459,87.858994,133.729782,2
18931,0.302505,-0.63089,0.339346,0.628732,66.358826,87.000168,120.345367,2
19051,0.310324,-0.64198,0.322663,0.622447,121.137794,88.112907,174.309647,2
19171,0.298573,-0.642315,0.321646,0.628348,95.183739,87.801895,147.199081,2
19294,0.289706,-0.644157,0.317948,0.632482,87.017433,87.512657,137.906006,2
19414,0.285265,-0.64846,0.311415,0.633353,95.064369,87.541702,144.970734,2
19534,0.273604,-0.648203,0.309968,0.639442,79.174393,86.959854,127.919266,2
19654,0.283072,-0.653857,0.294528,0.636857,121.928894,88.322403,170.129471,2
19799,0.273631,-0.656499,0.290579,0.64007,110.605453,88.072876,157.619522,2
19935,0.260999,-0.65583,0.292802,0.645,85.755852,87.267128,131.859558,2
20055,0.255565,-0.65854,0.287791,0.646668,87.630516,87.20726,132.817459,2
20177,0.249723,-0.660807,0.284379,0.648145,87.882042,87.000816,132.260666,2
20297,0.249189,-0.664638,0.27674,0.647741,99.692574,87.370583,143.352524,2
20417,0.243811,-0.666181,0.274577,0.649121,97.508575,87.139389,140.513519,2
20537,0.239805,-0.668493,0.270245,0.650054,100.068253,87.106529,142.348877,2
20657,0.234446,-0.669503,0.26565,0.652858,97.369621,87.12458,138.785522,2
20777,0.224986,-0.67117,0.261289,0.656226,92.263054,86.810028,132.487625,2
20897,0.233803,-0.67407,0.251214,0.654102,118.862946,87.840431,158.969223,2
21019,0.234107,-0.676005,0.244832,0.654416,133.796356,88.032677,173.381424,2
21139,0.224781,-0.676643,0.239788,0.658879,120.641022,88.101227,158.984451,2
21259,0.217692,-0.677585,0.236075,0.661626,112.256416,88.013672,149.672745,2
21379,0.211239,-0.677776,0.23246,0.664794,103.182259,87.970688,139.736206,2
21499,0.203265,-0.672269,0.232024,0.672974,70.677368,87.657326,106.516167,2
21619,0.200271,-0.671112,0.224215,0.677657,57.25296,87.974937,92.167542,2
21739,0.198736,-0.665529,0.216193,0.686168,23.164621,87.797081,57.27898,2
21860,0.18771,-0.678933,0.212233,0.677321,77.345161,87.994942,110.17952,2
21980,0.184412,-0.67545,0.210974,0.682086,59.745285,87.769279,92.19915,2
22100,0.179155,-0.679243,0.205142,0.681499,69.281761,87.87339,100.798103,2
22220,0.177698,-0.682738,0.206102,0.67809,83.555916,87.656319,115.034866,2
22340,0.174235,-0.683668,0.20507,0.678364,84.208344,87.453857,115.311241,2
22460,0.170547,-0.683323,0.198393,0.681627,78.371124,87.727554,108.59903,2
22580,0.170946,-0.680637,0.1971,0.684583,66.342857,87.843956,96.493713,2
22700,0.163737,-0.68377,0.189975,0.685237,72.326172,87.857803,101.275185,2
22820,0.164543,-0.680909,0.18592,0.688995,54.94183,88.133553,83.616043,2
22940,0.144901,-0.69992,0.181372,0.675434,110.537888,86.432343,137.216446,2
23060,0.151458,-0.685575,0.176656,0.689805,67.065346,87.916626,93.876221,2
23180,0.146599,-0.694781,0.171601,0.682886,102.449249,87.744408,128.439407,2
23300,0.145195,-0.688065,0.167933,0.690851,70.234009,88.129364,95.793808,2
23420,0.137301,-0.698737,0.164894,0.682434,108.243614,87.392632,132.909607,2
23542,0.13607,-0.689785,0.160927,0.692658,71.295418,87.959145,95.519417,2
23662,0.13174,-0.698837,0.158571,0.684922,105.573853,87.539391,129.251541,2
23782,0.131471,-0.690023,0.149987,0.695758,61.325886,88.412056,84.255081,2
23902,0.130678,-0.698166,0.149313,0.687884,107.484055,88.259651,130.297928,2
24022,0.130041,-0.687974,0.139972,0.700129,28.252851,88.707138,50.242115,2
24142,0.128085,-0.694053,0.137032,0.695053,72.856483,89.235107,94.396149,2
24262,0.136594,-0.675495,0.122761,0.714122,329.720886,86.666748,-9.129778,2
24384,0.134596,-0.669458,0.110776,0.722101,325.649841,85.310951,-14.34516,2
