Time(ms),AccelX,AccelY,AccelZ
49031,5.59,1.16,7.97
49175,7.1,-0.27,5.78
49320,7.83,-1.85,3.4
49464,8.48,-1.29,3.36
49608,9.36,-1.94,2.49
49751,9.16,-2.99,1.85
49901,8.97,-3.29,1.34
50044,9.34,-2.73,1.94
50189,9.28,-2.67,1.69
50333,9.23,-2.45,2.05
50476,9.38,-2.64,2.02
50621,9.19,-2.7,2.29
50765,9.33,-2.56,1.85
50909,9.29,-2.57,1.42
51053,9.32,-2.64,1.91
51203,9.27,-2.41,0.87
51346,9.43,-1.89,0.14
51491,9.68,-1.6,0.21
51635,9.81,-1.43,0.63
51780,9.61,-1.34,0.28
51924,9.73,-1.3,-0.1
52069,9.62,-1.35,0.16
52213,9.63,-1.43,0.17
52363,9.68,-1.37,0.52
52507,9.55,-1.51,0.39
52652,9.65,-1.54,0.18
52796,9.5,-1.53,0.74
52940,9.6,-1.56,0.23
53083,9.62,-1.65,0.38
53227,9.64,-1.2,0.54
53371,9.61,-1.58,0.55
53514,9.59,-1.48,0.21
53664,9.46,-1.72,0.38
53807,9.83,-1.25,0.32
53951,9.57,-1.51,0.42
54094,9.61,-1.51,0.44
54238,9.63,-1.41,0.43
54381,9.67,-1.38,0.38
54525,9.69,-1.29,0.35
54668,9.59,-1.47,0.61
54812,9.7,-1.5,0.62
54961,9.59,-1.46,0.44
55105,9.63,-1.44,0.45
55250,9.6,-1.41,0.54
55393,9.58,-1.53,0.76
55537,9.68,-1.39,0.9
55680,9.63,-1.34,0.66
55824,9.58,-1.37,0.42
55969,9.62,-1.46,0.75
56119,9.65,-1.45,0.77
56262,9.64,-1.37,0.94
56406,9.67,-1.41,0.66
56549,9.67,-1.5,0.93
56693,9.63,-1.45,0.79
56836,9.7,-1.33,0.82
56980,9.62,-1.38,0.84
57124,9.7,-1.48,0.82
57267,9.61,-1.46,0.86
57416,9.65,-1.38,0.78
57560,9.63,-1.32,0.82
57704,9.6,-1.43,0.72
57847,9.63,-1.42,0.84
57997,9.6,-1.46,0.69
58140,9.54,-1.41,0.66
58284,9.47,-1.23,0.67
58427,9.79,-1.15,0.94
58571,9.66,-1.32,1.2
58720,9.62,-1.21,0.97
58864,9.61,-1.09,1.03
59007,9.64,-1.17,0.9
59151,9.68,-1.27,1.03
59294,9.57,-1.33,0.94
59438,9.7,-1.21,0.99
59583,9.6,-1.45,0.98
59726,9.6,-1.3,0.97
59870,9.61,-1.15,0.99
60019,9.64,-1.19,1.13
60163,9.66,-1.21,1.16
60307,9.69,-1.23,1.12
60451,9.68,-1.22,1.1
60594,9.7,-1.23,1.04
60738,9.56,-1.32,1.04
60881,9.66,-1.11,1.18
61025,9.65,-1.23,1.11
61174,9.63,-1.23,1.02
61318,9.62,-1.22,0.92
61461,9.62,-1.23,1.13
61605,9.59,-1.36,1.21
61749,9.64,-1.15,0.99
61892,9.64,-1.13,1.1
62036,9.62,-1.17,1.21
62180,9.63,-1.22,1.2
62324,9.64,-1.17,0.92
62496,9.61,-1.2,0.96
62640,9.64,-1.33,0.98
62785,9.68,-1.37,1.13
62929,9.62,-1.4,1.07
63074,9.59,-1.22,1.06
63218,9.61,-1.2,1.01
63362,9.62,-1.25,1.07
63505,9.69,-0.64,-0.31
63649,9.17,-1.32,1.74
63798,7.88,-1.42,2.51
63942,5.64,-2.57,7.71
64085,4.65,-2.74,7.29
64229,2.27,-3.37,10.05
64373,1.98,-2.53,9.98
64516,0.72,-2.22,9.66
64660,0.23,-2.22,9.26
64803,-0.16,-2.3,9.82
64947,-0.38,-1.77,9.63
65096,-0.6,-2.15,9.32
65240,-0.98,-2.67,10.17
65383,-1.04,-1.94,9.33
65527,-1.24,-2.17,9.55
65670,-1.07,-2.07,9.81
65814,-0.99,-1.72,9.74
65958,-1.07,-1.96,9.89
66101,-0.98,-1.76,9.7
66250,-0.85,-1.72,9.74
66394,-0.75,-1.62,9.92
66538,-0.75,-1.62,9.66
66681,-0.69,-1.57,9.9
66825,-0.68,-1.56,9.69
66968,-0.73,-1.57,9.92
67112,-0.66,-1.59,9.91
67255,-0.75,-1.41,9.62
67399,-0.68,-1.41,9.83
67548,-0.69,-1.5,9.74
67692,-0.72,-1.44,9.66
67835,-0.73,-1.46,9.96
67979,-0.78,-1.45,9.55
68123,-0.68,-1.33,9.95
68266,-0.67,-1.29,9.69
68410,-0.65,-1.11,9.84
68553,-0.77,-1.22,9.73
68703,-0.69,-1.18,9.57
68846,-0.66,-1.19,10.04
68990,-0.73,-1.25,9.65
69133,-0.82,-1.24,9.83
69277,-0.78,-1.2,9.95
69420,-0.8,-1.23,9.98
69564,-0.74,-1.17,9.88
69708,-0.69,-1.21,10.09
69851,-0.77,-1.22,9.78
70000,-0.81,-1.25,9.83
70144,-0.76,-1.12,9.72
70288,-0.81,-1.23,9.82
70431,-0.78,-1.14,10.02
70575,-0.83,-1.2,9.99
70719,-0.76,-1.12,9.91
70863,-0.83,-1.22,9.8
71006,-0.77,-1.17,9.79
71152,-0.82,-1.37,9.89
71291,-0.78,-1.06,9.75
71435,-0.81,-1.2,9.81
71579,-0.89,-1.07,9.82
71723,-0.96,-1.16,9.8
71867,-0.84,-1.04,9.7
72011,-0.91,-1.16,9.93
72156,-0.89,-1.01,9.54
72300,-0.94,-1.17,9.81
72450,-0.94,-1.08,9.82
72593,-0.95,-1.2,9.94
72737,-0.96,-1.23,9.93
72880,-0.98,-1.23,9.86
73024,-0.95,-1.15,9.77
73167,-0.92,-1.14,9.68
73311,-1.0,-1.3,9.67
73455,-0.97,-1.17,10.0
73598,-0.99,-1.17,9.8
73748,-0.95,-1.24,9.98
73891,-0.96,-1.22,9.75
74035,-0.95,-1.16,9.87
74178,-0.94,-1.14,9.74
74322,-0.97,-1.1,9.95
74466,-0.94,-1.12,9.92
74610,-0.96,-1.09,9.83
74753,-0.91,-0.86,9.89
74903,-0.94,-1.05,9.93
75046,-0.98,-1.04,9.91
75190,-0.96,-0.95,9.88
75333,-0.87,-0.79,9.78
75483,-0.96,-0.98,9.84
75626,-0.9,-0.85,9.92
75770,-0.91,-1.03,9.95
75915,-0.86,-0.96,9.78
76058,-0.91,-1.04,9.9
76208,-0.85,-0.87,9.9
76351,-0.85,-0.92,10.1
76496,-0.87,-0.94,9.98
76639,-0.83,-0.99,9.79
76784,-0.79,-0.92,9.87
76928,-0.89,-1.03,9.96
77073,-0.91,-0.99,9.96
77217,-0.88,-0.94,9.97
77367,-0.86,-0.91,9.93
77511,-0.9,-0.9,9.89
77655,-0.9,-0.93,9.92
