Time(ms),AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,label
25076,0.21,-0.12,9.92,-0.0,-0.05,0.0,12.45,-23.69,-48.06,1
25215,0.21,-0.14,9.89,0.01,-0.04,-0.0,12.35,-22.67,-47.47,1
25355,0.19,-0.06,9.92,0.02,-0.02,-0.02,12.0,-23.15,-48.87,1
25495,0.21,-0.12,9.85,0.02,-0.04,-0.01,12.45,-23.31,-49.05,1
25634,0.18,-0.11,9.96,0.03,-0.04,-0.0,12.88,-24.16,-47.78,1
25774,0.23,-0.05,9.88,0.03,-0.04,-0.01,12.42,-22.95,-47.95,1
25914,0.21,-0.04,9.93,0.02,-0.04,-0.01,12.28,-23.55,-48.67,1
26053,0.19,-0.04,10.0,-0.01,-0.03,0.01,12.23,-23.34,-48.3,1
26199,0.17,-0.07,9.94,0.01,-0.05,-0.01,11.68,-23.47,-48.71,1
26338,0.19,-0.15,9.86,0.02,-0.06,0.01,11.94,-23.74,-48.39,1
26478,0.22,-0.08,9.88,0.01,-0.04,0.0,12.04,-23.59,-48.04,1
26618,0.21,-0.08,9.92,0.0,-0.06,0.0,11.74,-23.91,-47.88,1
26757,0.2,-0.1,9.92,0.01,-0.03,-0.01,12.19,-23.25,-47.12,1
26897,0.2,-0.11,9.92,0.01,-0.05,-0.0,12.34,-24.14,-47.84,1
27037,0.18,-0.1,9.94,-0.04,-0.04,-0.02,12.55,-23.24,-46.74,1
27176,0.16,-0.12,9.99,-0.01,-0.02,-0.01,12.23,-22.96,-47.82,1
27316,0.18,-0.14,9.9,0.01,-0.05,0.01,12.51,-23.14,-47.98,1
27461,0.19,-0.12,9.95,-0.02,-0.05,-0.01,12.15,-22.6,-47.53,1
27601,0.2,-0.19,9.93,0.0,-0.04,-0.01,11.98,-22.6,-47.65,1
27741,0.2,-0.19,9.89,0.03,-0.04,-0.01,11.85,-22.77,-48.23,1
27880,0.21,-0.14,9.93,0.01,-0.04,-0.01,12.2,-23.11,-47.98,1
28059,0.17,-0.12,9.9,0.03,-0.02,-0.01,11.6,-23.27,-47.81,1
28199,0.19,-0.15,9.93,0.02,-0.03,-0.01,11.91,-23.3,-48.45,1
28338,0.18,-0.17,9.93,0.04,-0.03,-0.0,11.88,-23.21,-48.14,1
28485,0.17,-0.11,9.93,0.02,-0.05,-0.0,12.06,-23.55,-47.78,1
28630,0.2,-0.11,9.93,0.0,-0.05,-0.01,10.99,-23.93,-47.91,1
28770,0.19,-0.17,9.86,0.01,-0.05,0.01,11.81,-23.82,-47.62,1
28910,0.18,-0.11,9.97,0.01,-0.06,-0.02,11.2,-23.91,-48.83,1
29049,0.16,-0.16,10.01,0.02,-0.04,-0.0,12.53,-23.62,-47.98,1
29189,0.21,-0.12,9.88,0.0,-0.05,0.01,11.58,-23.82,-47.6,1
29329,0.18,-0.16,9.87,0.01,-0.07,-0.0,11.74,-23.49,-48.19,1
29468,0.23,-0.15,9.92,0.02,-0.05,-0.01,11.79,-23.74,-47.49,1
29608,0.23,-0.1,9.94,0.01,-0.05,-0.0,11.56,-23.18,-48.47,1
29748,0.19,-0.16,9.87,0.01,-0.03,0.0,11.62,-23.56,-48.17,1
29893,0.18,-0.14,9.87,0.03,-0.05,0.01,14.72,-23.75,-48.0,1
30033,0.21,-0.13,9.98,-0.01,-0.04,0.01,10.96,-23.91,-48.77,1
30172,0.16,-0.12,9.93,0.02,-0.04,0.01,11.58,-24.28,-49.72,1
30313,0.14,-0.19,9.87,0.01,-0.06,-0.01,11.72,-23.76,-48.57,1
30454,0.14,-0.16,9.88,0.04,-0.06,-0.02,11.25,-23.46,-49.59,1
30593,0.17,-0.11,9.99,0.03,-0.06,-0.0,11.78,-23.44,-49.25,1
30733,0.19,-0.08,9.98,0.0,-0.04,-0.02,12.55,-23.9,-49.81,1
30873,0.12,-0.18,9.92,0.01,-0.02,-0.01,11.93,-23.98,-49.36,1
31018,0.16,-0.06,10.01,0.01,-0.04,0.01,11.74,-23.88,-49.63,1
31158,0.13,-0.14,9.96,-0.02,-0.04,-0.01,11.31,-23.57,-49.53,1
31297,0.16,-0.17,9.95,0.02,-0.05,-0.0,11.12,-22.84,-49.33,1
31437,0.18,-0.15,9.94,-0.0,-0.04,-0.01,11.66,-23.19,-49.72,1
31577,0.18,-0.15,9.93,0.01,-0.05,0.0,12.44,-23.65,-48.9,1
31716,0.21,-0.15,9.89,0.01,-0.07,-0.0,11.46,-23.14,-49.34,1
31856,0.2,-0.12,9.96,0.01,-0.05,0.0,11.36,-23.46,-50.19,1
31996,0.19,-0.18,9.95,0.01,-0.04,0.0,11.41,-23.76,-49.44,1
32135,0.19,-0.16,9.92,0.01,-0.06,-0.01,11.49,-22.87,-48.42,1
32281,0.2,-0.18,9.87,0.02,-0.05,-0.01,11.63,-23.08,-48.8,1
