Time(ms),AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ
27011,-9.61,1.99,-0.35,-0.01,-0.03,-0.00,46.21,-24.61,20.75
27151,-9.62,1.76,-0.42,0.03,-0.05,0.00,46.99,-24.10,21.38
27291,-9.61,1.97,-0.30,0.01,-0.04,-0.02,46.65,-24.39,21.13
27436,-9.64,1.80,-0.43,0.01,-0.06,0.00,46.70,-24.93,19.73
27576,-9.60,1.91,-0.33,0.03,-0.03,-0.00,46.45,-24.63,20.96
27715,-9.61,1.90,-0.26,0.02,-0.06,0.00,47.12,-24.33,21.44
27855,-9.63,1.74,-0.49,0.03,-0.05,0.01,46.73,-24.36,20.40
27995,-9.63,2.05,-0.42,0.02,-0.04,-0.00,46.93,-24.00,20.68
28134,-9.59,1.92,-0.12,0.00,-0.06,0.02,46.80,-23.82,21.50
28274,-9.65,1.69,-0.52,0.01,-0.08,-0.01,47.28,-24.32,21.79
28414,-9.55,2.01,-0.58,0.04,-0.03,0.01,46.84,-24.13,22.11
28553,-9.70,1.91,-0.17,0.03,-0.02,-0.01,46.89,-24.71,22.54
28698,-9.66,1.96,-0.32,0.01,-0.07,-0.01,46.55,-24.04,21.47
28837,-9.60,1.82,-0.53,0.01,-0.08,0.01,46.93,-23.94,20.75
28977,-9.59,1.81,-0.35,0.03,-0.03,0.00,45.79,-23.81,20.65
29117,-9.63,1.98,-0.31,-0.00,-0.04,-0.01,47.05,-24.09,19.70
29256,-9.66,1.77,-0.44,0.01,-0.07,0.01,46.80,-24.31,20.23
29396,-9.68,1.70,-0.48,0.03,-0.04,0.00,46.81,-23.75,20.83
29536,-9.51,1.96,-0.38,0.06,-0.04,0.00,46.77,-23.87,20.61
29675,-9.59,1.99,-0.20,0.04,-0.05,-0.00,47.06,-24.12,20.83
29820,-9.65,1.88,-0.44,0.01,-0.04,-0.02,46.84,-24.07,20.72
29960,-9.53,2.05,-0.30,0.04,-0.05,0.00,46.78,-23.91,21.48
30100,-9.59,1.97,-0.37,-0.02,-0.04,-0.01,46.83,-23.97,20.96
30240,-9.62,1.79,-0.31,0.01,-0.08,-0.01,46.83,-23.68,21.84
30379,-9.64,1.73,-0.48,0.02,-0.04,-0.00,47.28,-23.87,21.41
30519,-9.62,1.70,-0.29,0.01,-0.05,-0.03,46.65,-24.22,21.62
30659,-9.58,1.92,-0.25,0.03,-0.05,-0.02,46.95,-23.55,22.01
30798,-9.56,1.79,-0.28,-0.00,-0.01,0.01,46.81,-24.26,21.24
30938,-9.67,1.79,-0.22,-0.00,-0.05,-0.01,46.92,-24.07,21.38
31083,-9.67,1.73,-0.40,-0.02,-0.10,-0.02,47.08,-24.63,21.03
31222,-9.52,2.24,-0.44,0.00,-0.01,-0.03,47.06,-24.10,21.86
31362,-9.61,1.94,-0.16,-0.02,-0.04,0.00,47.47,-23.84,21.18
31501,-9.53,1.67,-0.13,0.10,-0.03,0.01,46.74,-23.50,21.92
31641,-9.73,1.60,-0.16,0.03,-0.03,0.03,46.95,-23.93,21.88
31781,-9.66,1.85,-0.36,0.01,-0.05,0.02,46.62,-24.06,21.94
31920,-9.75,1.49,-0.44,0.04,-0.07,0.00,46.58,-23.88,22.00
32060,-9.65,1.80,-0.36,-0.02,-0.03,-0.02,46.54,-23.56,21.66
32205,-9.71,1.70,-0.14,-0.04,-0.06,0.00,46.73,-24.23,21.12
32344,-9.62,1.61,-0.41,0.02,-0.06,0.00,47.12,-23.66,20.61
32484,-9.70,1.71,-0.25,0.04,-0.03,-0.03,46.46,-23.47,21.22
32624,-9.63,1.89,0.05,0.04,-0.08,0.02,46.71,-23.75,21.22
