qw,qx,qy,qz,yaw,pitch,roll
-0.455971,0.012017,-0.369862,-0.809407,308.6828,20.900497,38.989548
-0.465415,0.008023,-0.369669,-0.804152,307.345154,20.916256,38.93877
-0.476162,0.009373,-0.355711,-0.804142,305.742523,20.72154,37.021114
-0.486512,0.012092,-0.341907,-0.803898,304.216827,20.617346,35.083015
-0.496577,0.01201,-0.337947,-0.799406,302.804779,20.783394,34.413643
-0.505319,0.005592,-0.338312,-0.793825,301.495453,20.535555,34.578518
-0.513798,-0.003511,-0.336789,-0.789027,300.131897,19.909933,34.687256
-0.520209,-0.011347,-0.341192,-0.782837,299.145172,19.707365,35.448669
-0.52799,-0.016412,-0.34279,-0.776817,297.986725,19.662569,35.728947
-0.534579,-0.024371,-0.346953,-0.770225,296.947906,19.47559,36.479698
-0.543444,-0.026848,-0.343856,-0.765312,295.627258,19.429012,36.088837
-0.552429,-0.028737,-0.341779,-0.75972,294.306091,19.508886,35.776711
-0.56028,-0.032738,-0.343306,-0.753092,293.12677,19.595978,36.002052
-0.567948,-0.035673,-0.344585,-0.746603,291.985138,19.763857,36.142868
-0.574875,-0.038983,-0.343235,-0.741742,290.905945,19.682272,36.042282
-0.582173,-0.044767,-0.342963,-0.735825,289.720978,19.47809,36.203159
-0.585545,-0.052197,-0.347459,-0.730532,289.099945,19.307758,37.062572
-0.592509,-0.055145,-0.343902,-0.726371,287.986389,19.11215,36.720169
-0.600086,-0.060623,-0.344186,-0.719548,286.747559,19.016459,36.932137
-0.60427,-0.066609,-0.347363,-0.713969,286.007904,18.946737,37.556118
-0.604451,-0.074292,-0.35339,-0.71009,285.826508,18.766102,38.675583
-0.582208,-0.088537,-0.367097,-0.720019,288.73349,17.454931,41.469566
-0.530777,-0.111075,-0.373529,-0.752599,295.033081,13.257751,44.328644
-0.462804,-0.13674,-0.383876,-0.787239,302.652008,8.049265,47.582264
-0.396508,-0.156984,-0.391239,-0.815513,309.583618,3.107747,49.79472
-0.313523,-0.184294,-0.428819,-0.826949,317.387238,-2.05816,55.620941
-0.219518,-0.209156,-0.444537,-0.842878,325.733917,-9.057068,58.411587
-0.138426,-0.233289,-0.454279,-0.84855,332.345154,-15.673027,60.205502
-0.074901,-0.24847,-0.467038,-0.845293,337.482971,-20.493193,61.964016
0.001697,-0.276431,-0.487791,-0.828031,342.514435,-27.351095,65.290001
0.080356,-0.295062,-0.511215,-0.803201,348.01355,-33.78978,68.603363
0.14684,-0.312527,-0.5198,-0.781386,352.857483,-39.871201,69.858887
0.21736,-0.331302,-0.537121,-0.744638,357.313354,-46.626938,72.764565
0.283088,-0.336165,-0.549809,-0.710321,3.032611,-52.079025,73.999161
0.351411,-0.333663,-0.559479,-0.672425,10.59878,-57.345558,73.714539
0.395208,-0.352806,-0.556334,-0.640174,14.500266,-63.055992,73.057442
0.431861,-0.377081,-0.549909,-0.60737,17.782158,-68.91114,72.060699
0.457076,-0.400183,-0.550736,-0.572377,17.477573,-74.063972,74.560913
0.483387,-0.422211,-0.543654,-0.54084,19.9105,-79.199852,73.771309
0.522354,-0.42298,-0.539557,-0.507055,37.225616,-83.038261,60.348766
0.520815,-0.426938,-0.55523,-0.488044,20.238432,-84.310425,79.008217
0.513055,-0.421174,-0.581443,-0.470428,356.594971,-83.163048,105.066879
0.504465,-0.409936,-0.598843,-0.467811,353.013275,-81.017113,109.974808
0.525885,-0.393268,-0.596779,-0.46112,6.472321,-82.038765,98.979836
0.528221,-0.418374,-0.573111,-0.466348,8.127631,-84.669357,94.316864
0.525208,-0.435659,-0.561861,-0.467612,1.356414,-86.052208,99.188881
0.522701,-0.441876,-0.55662,-0.470846,0.280509,-86.377548,99.273476
0.520347,-0.445751,-0.554534,-0.47226,357.290497,-86.486427,101.703003
0.51866,-0.446691,-0.554642,-0.4731,355.680511,-86.375557,103.120422
0.51406,-0.45718,-0.54729,-0.476649,349.021088,-86.870369,108.283257
0.522479,-0.457084,-0.545258,-0.469868,348.337036,-87.870911,109.723145
0.530816,-0.456245,-0.543823,-0.462951,346.728363,-88.791473,112.16095
0.533398,-0.460473,-0.540174,-0.460061,315.878357,-89.403572,142.83638
0.521448,-0.470515,-0.536375,-0.467977,308.754669,-88.751648,148.058304
0.501751,-0.481344,-0.539507,-0.474846,307.666901,-86.886742,147.199127
0.499065,-0.481931,-0.540448,-0.476008,309.187073,-86.604195,145.479568
0.494347,-0.48833,-0.538748,-0.476338,301.841614,-86.26561,152.072601
0.502155,-0.491307,-0.531299,-0.473466,285.484833,-87.221313,168.441086
0.512525,-0.489581,-0.525336,-0.470789,261.491608,-88.142586,-167.061157
0.519536,-0.490688,-0.519533,-0.468385,227.275787,-88.177589,-132.690521
0.516004,-0.485646,-0.525874,-0.470463,260.468506,-88.514175,-165.566086
0.510777,-0.493105,-0.529619,-0.464165,260.441193,-87.192024,-165.682693
0.504899,-0.505384,-0.52441,-0.463303,251.606598,-86.233604,-158.134979
0.494958,-0.517587,-0.519272,-0.466337,251.244034,-85.396576,-159.509659
0.513709,-0.508784,-0.519517,-0.455342,233.17865,-85.637039,-139.216751
0.518749,-0.5005,-0.528758,-0.448114,238.647186,-85.671249,-142.976181
0.510873,-0.506413,-0.526641,-0.452984,243.677216,-85.47905,-149.199112
0.48561,-0.528828,-0.516353,-0.466792,251.539093,-84.382843,-161.178268
0.445109,-0.535433,-0.534253,-0.479328,281.794769,-81.454239,166.167435
0.363707,-0.570264,-0.522943,-0.518689,291.204559,-76.403564,147.09906
0.33653,-0.591385,-0.507419,-0.528704,286.852325,-75.208153,147.138443
0.326668,-0.602648,-0.495559,-0.533401,283.599609,-75.166122,148.188736
0.333037,-0.608879,-0.480921,-0.53578,279.111267,-76.600693,151.718552
0.360704,-0.608086,-0.470463,-0.527996,270.069244,-78.970932,162.306503
0.374222,-0.602562,-0.470905,-0.524517,267.949738,-79.91629,165.774765
0.367088,-0.611596,-0.452912,-0.534845,263.76593,-80.657356,167.379623
0.370122,-0.611513,-0.450449,-0.534929,261.956848,-80.994904,169.226334
0.368805,-0.620867,-0.428969,-0.542664,252.005539,-81.995186,176.864029
0.346846,-0.625849,-0.397491,-0.574459,256.38147,-84.146568,167.221008
0.29336,-0.625052,-0.330954,-0.643204,321.976624,-86.608986,90.429283
0.229952,-0.577803,-0.244096,-0.744093,14.867143,-76.443573,24.589453
0.166753,-0.499428,-0.154458,-0.836002,15.616879,-62.443928,11.432123
0.134584,-0.392082,-0.11803,-0.902341,12.901087,-47.676392,9.184555
0.104995,-0.302126,-0.075824,-0.944425,10.853956,-35.915657,5.653079
0.075762,-0.21497,-0.028317,-0.973262,8.586101,-25.007309,1.425661
0.047813,-0.140925,-0.007952,-0.988829,5.517488,-16.228128,0.134306
0.029855,-0.076112,-0.003143,-0.996643,3.424076,-8.737089,0.099681
0.009981,-0.032774,-0.001227,-0.999408,1.141017,-3.757446,0.103293
-0.005458,0.000828,0.003671,-0.999974,359.374237,0.092595,-0.421137
-0.019902,0.009785,-0.001549,-0.999749,357.720612,1.124628,0.155167
-0.021501,0.005587,-0.004394,-0.999739,357.538696,0.650923,0.489604
-0.024234,0.00292,-0.007164,-0.999672,357.225159,0.354376,0.812597
-0.028615,0.004201,-0.00633,-0.999557,356.72348,0.501899,0.711325
-0.033733,0.002775,-0.009473,-0.999378,356.13678,0.354372,1.074235
-0.038536,0.002357,-0.011417,-0.999185,355.586243,0.320271,1.296909
-0.041248,0.001508,-0.007497,-0.999115,355.273376,0.20804,0.851269
-0.047942,0.000699,-0.008693,-0.998808,354.505035,0.127769,0.991192
-0.056084,0.000794,-0.006046,-0.998403,353.570496,0.12968,0.686668
-0.062113,0.003093,-0.008653,-0.998023,352.88089,0.415331,0.967626
-0.066025,0.003559,-0.012463,-0.997729,352.43396,0.501254,1.398161
-0.072227,0.007296,-0.011623,-0.99729,351.725616,0.93007,1.268214
-0.08118,0.00846,-0.014839,-0.996549,350.701294,1.104167,1.616339
-0.091052,0.007937,-0.011365,-0.995745,349.561523,1.02424,1.214221
-0.098371,0.009818,-0.007925,-0.995066,348.716644,1.208899,0.793176
-0.105964,0.010682,-0.007932,-0.994277,347.842285,1.313436,0.774234
-0.112514,0.009253,-0.010631,-0.993546,347.089355,1.190574,1.091335
-0.116943,0.007657,-0.013017,-0.99302,346.579498,1.045778,1.378955
-0.121286,0.009678,-0.01191,-0.992495,346.07901,1.266354,1.220444
-0.125741,0.00881,-0.012997,-0.991935,345.564941,1.188741,1.350793
-0.133419,0.010606,-0.009883,-0.99095,344.675201,1.355539,0.960471
-0.139947,0.010928,-0.012867,-0.990011,343.924164,1.446294,1.285012
-0.14401,0.009561,-0.013825,-0.989429,343.453644,1.312281,1.410206
-0.147256,0.011025,-0.015465,-0.988912,343.081451,1.510547,1.567172
-0.154233,0.014236,-0.013814,-0.987831,342.272919,1.855936,1.312934
-0.160928,0.012558,-0.011173,-0.986819,341.490265,1.626283,1.032399
-0.166461,0.01242,-0.012655,-0.985884,340.84964,1.644806,1.193331
-0.172817,0.011469,-0.013469,-0.984791,340.110931,1.561171,1.293457
-0.179541,0.010848,-0.014614,-0.983578,339.329193,1.523543,1.424624
-0.186268,0.009501,-0.014402,-0.982343,338.543457,1.377021,1.418949
-0.191496,0.011368,-0.013337,-0.981333,337.933228,1.571253,1.250876
-0.195776,0.010982,-0.016291,-0.980447,337.437256,1.599539,1.58472
-0.200779,0.010096,-0.019354,-0.979389,336.855835,1.578591,1.940912
-0.204417,0.008377,-0.019618,-0.978647,336.427979,1.399119,2.004825
-0.208242,0.008259,-0.021752,-0.977796,335.982727,1.444603,2.241512
-0.212648,0.008459,-0.017818,-0.976925,335.461212,1.38125,1.789323
-0.217384,0.005836,-0.019029,-0.975879,334.90329,1.126752,1.983308
-0.222365,0.005109,-0.020555,-0.974729,334.318573,1.094482,2.166634
-0.22689,0.004448,-0.020994,-0.97368,333.785675,1.042155,2.227679
-0.231764,0.002657,-0.022786,-0.972497,333.210022,0.901308,2.469787
-0.236359,0.00205,-0.02238,-0.971402,332.666901,0.834359,2.436689
-0.238228,0.000129,-0.026868,-0.970833,332.445099,0.747814,2.987165
-0.234538,-0.006571,-0.027984,-0.971677,332.859985,0.020448,3.294286
-0.225725,-0.008205,-0.03144,-0.973645,333.891266,-0.102247,3.722638
-0.193729,-0.014065,-0.028957,-0.980523,337.617828,-0.937577,3.568652
-0.122841,-0.037596,-0.060618,-0.989855,345.629456,-3.413172,7.439157
0.021268,-0.060478,-0.097364,-0.993178,1.759668,-7.138705,11.088078
0.164048,-0.058255,-0.087976,-0.980789,18.348122,-8.229347,8.919938
0.304837,-0.03826,-0.045461,-0.950545,35.378857,-5.765162,3.636169
0.38419,-0.042647,-0.029156,-0.921803,45.190098,-5.798284,1.208529
0.42891,-0.05474,-0.035482,-0.900984,50.84996,-7.416232,0.981117
0.476367,-0.036745,-0.080558,-0.874773,56.706558,-8.10784,6.142457
0.52623,-0.034801,-0.106303,-0.842949,63.235195,-9.819823,8.320414
0.548948,-0.032154,-0.127362,-0.825465,66.246719,-11.122911,10.271595
0.54462,-0.02497,-0.12805,-0.828469,65.649475,-10.419336,10.840446
0.546741,-0.029866,-0.125537,-0.827294,65.950981,-10.759516,10.264151
0.548133,-0.026431,-0.099982,-0.829968,66.268013,-8.828672,7.968672
0.550385,-0.022189,-0.092504,-0.829469,66.609825,-7.968913,7.486493
0.549443,-0.016828,-0.08708,-0.830806,66.50267,-7.102906,7.306499
0.544807,-0.013763,-0.079503,-0.834666,65.893097,-6.29238,6.801748
0.544888,-0.011172,-0.070826,-0.835432,65.932671,-5.500346,6.122671
0.542301,-0.008091,-0.071539,-0.837089,65.581612,-5.228968,6.399335
0.539066,-0.006245,-0.068537,-0.839442,65.151253,-4.840187,6.241491
0.53717,-0.00519,-0.063894,-0.84103,64.906036,-4.437658,5.866059
0.534187,-0.003736,-0.063917,-0.842933,64.504013,-4.277396,5.97264
0.53175,-0.000533,-0.06818,-0.844148,64.173431,-4.209804,6.595001
0.532889,0.00416,-0.0663,-0.843569,64.348831,-3.648891,6.691716
0.531877,0.003749,-0.066595,-0.844186,64.209579,-3.698766,6.699909
0.530086,0.004936,-0.065985,-0.845353,63.973282,-3.532234,6.719913
0.526165,0.00888,-0.068305,-0.847584,63.457916,-3.257658,7.200125
0.522538,0.006966,-0.067084,-0.849939,62.962631,-3.340376,6.97991
0.519544,0.006622,-0.063921,-0.852019,62.564457,-3.160598,6.66019
0.513422,0.01014,-0.061604,-0.855857,61.765736,-2.630884,6.660344
0.509489,0.009766,-0.057492,-0.858494,61.24522,-2.396562,6.243821
0.505623,0.007051,-0.053382,-0.861068,60.724541,-2.397966,5.690161
0.501899,0.006228,-0.049194,-0.863499,60.232712,-2.21364,5.237074
0.497493,0.002781,-0.048281,-0.866114,59.638844,-2.477189,4.961161
0.49474,0.002763,-0.048917,-0.867654,59.274548,-2.499314,5.031541
0.492948,0.002032,-0.047834,-0.868736,59.037483,-2.500546,4.887156
0.489692,-0.002505,-0.043828,-0.870785,58.603073,-2.710403,4.241374
0.487079,-0.006464,-0.027673,-0.872891,58.277939,-2.191696,2.409704
0.484755,-0.013173,-0.015576,-0.874407,57.99091,-2.1857,0.829632
0.483075,-0.016532,-0.007828,-0.875383,57.786495,-2.092102,-0.130007
0.480152,-0.015296,-0.006197,-0.877025,57.403458,-1.878557,-0.218953
0.474473,-0.012261,-0.013408,-0.880078,56.649105,-1.965861,0.685976
0.472241,-0.010058,-0.01149,-0.881333,56.358658,-1.637821,0.616349
0.470891,-0.008798,-0.01169,-0.882065,56.182152,-1.520216,0.707079
0.467736,-0.006988,-0.011131,-0.883766,55.772175,-1.304474,0.752945
0.464913,-0.006268,-0.013604,-0.885225,55.404152,-1.360727,1.046396
0.464024,-0.005163,-0.013915,-0.885694,55.288792,-1.264009,1.138132
0.463001,-0.005198,-0.014444,-0.88622,55.156025,-1.294356,1.191422
0.463016,-0.006367,-0.016184,-0.886175,55.156269,-1.505408,1.306224
0.461947,-0.00642,-0.018196,-0.886693,55.016117,-1.615698,1.509802
0.454935,-0.014501,-0.02907,-0.889927,54.095146,-2.995593,2.212163
0.419366,-0.036444,-0.056143,-0.905342,49.475891,-6.492818,4.103004
0.343973,-0.064775,-0.112197,-0.929994,39.631428,-11.400533,9.638289
0.23789,-0.082706,-0.224763,-0.941298,25.189896,-15.226776,23.437763
0.128268,-0.10313,-0.370787,-0.914013,9.483848,-16.477869,42.785126
0.026914,-0.107142,-0.475045,-0.872995,356.78479,-12.277046,57.451637
-0.070502,-0.097064,-0.551416,-0.825555,347.04303,-4.732948,68.017868
-0.196706,-0.063498,-0.609894,-0.765046,337.520264,8.208858,75.489189
-0.325416,-0.017428,-0.668632,-0.668374,329.804443,24.322367,83.367081
-0.397394,0.025801,-0.68894,-0.605613,326.86087,35.36702,86.527382
-0.447133,0.063792,-0.699453,-0.55386,325.552826,44.119713,88.930954
-0.492406,0.111489,-0.689662,-0.519099,323.901642,52.649162,87.744896
-0.525108,0.143014,-0.694906,-0.470006,324.119202,59.795692,90.762581
-0.557643,0.167871,-0.696234,-0.419647,323.936005,66.547905,93.723595
-0.577217,0.185637,-0.700766,-0.375871,326.720337,71.538818,99.281166
-0.585314,0.215937,-0.696661,-0.354167,332.82605,75.577675,104.874939
-0.578311,0.292333,-0.665769,-0.36992,346.449738,80.513161,110.392944
-0.594833,0.317711,-0.658073,-0.334911,12.300795,84.68264,137.267456
-0.613885,0.316121,-0.665066,-0.284414,56.935699,85.114647,-173.37323
-0.615319,0.315711,-0.672495,-0.263536,66.603821,83.720711,-161.834412
-0.616234,0.3119,-0.675212,-0.258949,65.767952,83.570198,-161.927612
-0.621445,0.322766,-0.664262,-0.261488,79.499016,83.935539,-149.379303
-0.62563,0.325049,-0.658121,-0.264197,86.560387,84.403465,-142.752014
-0.626674,0.323018,-0.656637,-0.267877,86.209366,84.907997,-143.239777
-0.629867,0.320628,-0.655238,-0.266684,89.377945,85.162682,-139.74617
-0.630673,0.317573,-0.654849,-0.269374,87.909309,85.623459,-141.17421
-0.630247,0.316159,-0.655254,-0.271045,85.556602,85.813057,-143.546829
-0.630653,0.315336,-0.655941,-0.269394,85.617935,85.743385,-143.266174
-0.630755,0.313727,-0.656669,-0.269259,84.136749,85.822281,-144.591019
-0.630208,0.313216,-0.656877,-0.270627,82.352066,85.92086,-146.450516
-0.630023,0.312758,-0.657263,-0.27065,81.486908,85.928978,-147.27681
-0.630526,0.311332,-0.657554,-0.270414,80.866379,86.019012,-147.748169
-0.631174,0.309579,-0.657962,-0.269924,80.172585,86.114761,-148.241089
-0.631221,0.308892,-0.658152,-0.270136,79.395386,86.16835,-148.975342
-0.631561,0.307391,-0.658519,-0.270161,78.217018,86.267708,-150.021332
-0.632192,0.305747,-0.65901,-0.269352,77.630424,86.328857,-150.389313
-0.631231,0.305894,-0.659564,-0.27008,75.705078,86.291809,-152.39296
-0.630228,0.306147,-0.659351,-0.272644,73.179535,86.395164,-155.167618
-0.630981,0.304255,-0.659478,-0.272713,72.000534,86.547302,-156.182831
-0.631514,0.303272,-0.659672,-0.272104,71.931206,86.588264,-156.110245
-0.63235,0.301245,-0.660469,-0.270477,71.439629,86.614296,-156.277451
-0.633691,0.298711,-0.661598,-0.267371,71.931206,86.591248,-155.286728
-0.634324,0.296302,-0.66196,-0.267654,69.549232,86.7659,-157.47879
-0.634343,0.29466,-0.662557,-0.267945,66.895958,86.842659,-160.012131
-0.635576,0.2924,-0.663046,-0.266284,66.837837,86.919739,-159.723053
-0.637064,0.290133,-0.662526,-0.266502,66.059738,87.175339,-160.318192
-0.638601,0.289135,-0.662176,-0.264773,69.016487,87.24324,-157.12001
-0.638851,0.289322,-0.661549,-0.265533,69.461273,87.325333,-156.758163
-0.640323,0.288099,-0.66105,-0.264557,71.658218,87.447792,-154.366333
-0.641616,0.286686,-0.66074,-0.263731,73.122215,87.568039,-152.704147
-0.642403,0.2859,-0.660024,-0.264463,73.498154,87.739471,-152.322433
-0.642725,0.285193,-0.659513,-0.265715,72.184525,87.90361,-153.683334
-0.642597,0.284205,-0.659838,-0.266274,69.04924,87.97097,-156.780991
-0.642828,0.284278,-0.660027,-0.265169,70.888977,87.903702,-154.850662
-0.64362,0.283201,-0.660117,-0.264175,71.860222,87.946243,-153.696991
