Time(ms),AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ
27458,9.59,0.43,0.96,0.05,-0.07,-0.00,-25.52,-30.06,-0.07
27598,9.77,0.76,1.21,0.06,-0.06,-0.05,-25.17,-30.08,0.37
27738,9.80,0.83,1.12,0.01,-0.03,-0.02,-25.55,-30.02,0.50
27877,9.67,0.72,1.12,0.01,-0.03,0.03,-25.02,-30.02,0.77
28017,9.69,0.66,0.99,0.01,-0.07,0.01,-24.90,-30.31,1.05
28157,9.76,0.60,1.14,-0.03,-0.00,0.02,-25.43,-30.46,0.64
28302,9.68,0.51,1.07,-0.01,-0.01,-0.00,-25.45,-29.58,0.76
28442,9.71,0.64,1.15,0.05,-0.00,-0.04,-25.33,-30.44,0.28
28582,9.75,0.69,1.17,0.02,-0.06,0.02,-25.12,-30.23,-0.70
28721,9.63,0.57,1.13,0.02,-0.05,0.01,-25.23,-30.53,-0.25
28861,9.71,0.66,1.13,0.04,-0.04,0.00,-26.07,-30.36,-0.70
29000,9.65,0.55,1.13,0.03,-0.04,-0.01,-25.59,-30.65,-0.13
29140,9.69,0.59,1.03,0.02,-0.06,-0.01,-26.56,-30.72,0.66
29280,9.64,0.55,1.06,0.02,-0.06,0.02,-26.24,-30.25,0.72
29419,9.68,0.71,1.20,0.02,-0.08,-0.01,-26.13,-29.61,-0.03
29565,9.66,0.77,1.04,0.07,-0.07,-0.01,-25.91,-30.36,0.60
29705,9.75,0.70,1.20,0.02,-0.04,-0.04,-26.09,-30.09,0.57
29844,9.74,0.68,1.21,-0.00,-0.05,0.01,-25.69,-30.23,-0.18
29984,9.59,0.56,0.91,-0.01,-0.04,0.01,-25.52,-29.85,0.45
30124,9.67,0.65,0.98,0.04,-0.07,-0.00,-26.35,-29.64,-0.42
30263,9.70,0.65,1.10,0.04,-0.05,-0.01,-26.19,-29.98,0.73
30403,9.75,0.71,1.23,0.02,-0.05,-0.01,-25.62,-29.42,0.18
30542,9.73,0.78,1.23,-0.00,-0.03,-0.01,-25.50,-30.37,1.10
30688,9.74,0.83,1.06,-0.00,-0.02,-0.02,-25.36,-30.17,0.69
30828,9.73,0.77,1.19,0.01,-0.04,-0.01,-25.33,-30.02,0.76
30967,9.66,0.51,0.70,0.03,-0.11,0.01,-24.92,-29.74,1.10
31108,9.61,0.39,0.94,0.06,-0.06,-0.02,-25.11,-30.14,1.72
31248,9.77,0.69,1.14,0.04,-0.03,-0.02,-25.52,-29.14,0.63
31387,9.75,0.90,1.13,-0.01,-0.00,-0.02,-25.12,-29.76,0.07
31527,9.87,1.00,1.01,-0.00,0.02,0.05,-24.55,-29.82,-0.01
31666,9.25,-0.04,1.40,0.03,-0.09,0.02,-25.23,-29.77,-0.19
31806,9.90,0.68,1.23,-0.02,-0.02,-0.07,-24.76,-30.62,-0.89
31951,9.72,0.92,1.27,-0.00,-0.00,-0.02,-25.58,-30.05,0.80
32090,9.63,0.83,1.02,0.02,-0.07,-0.01,-25.15,-29.49,-0.41
32230,9.64,0.68,1.25,0.03,-0.04,-0.01,-24.88,-30.21,0.48
32370,9.74,0.94,1.23,0.02,-0.03,-0.02,-25.72,-30.11,0.86
32509,9.75,0.98,1.20,-0.01,-0.04,-0.02,-25.17,-30.58,0.04
32649,9.60,0.63,0.73,0.02,-0.07,-0.01,-24.92,-30.28,0.38
