Time(ms),AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ
19468,-4.20,6.49,5.13,2.24,-0.47,-2.45,17.00,-11.40,20.15
19608,-5.76,10.21,5.05,2.13,-0.21,-1.79,17.00,-11.40,20.15
19748,-6.42,6.50,2.77,1.42,-0.23,-1.08,17.00,-11.40,20.15
19893,-7.09,7.47,3.67,0.55,-0.00,-0.99,17.00,-11.40,20.15
20033,-7.34,6.22,2.00,0.24,-0.05,-0.27,17.00,-11.40,20.15
20172,-7.63,5.32,3.31,0.08,-0.07,-0.14,17.00,-11.40,20.15
20312,-7.97,5.06,2.11,0.18,0.01,-0.30,17.00,-11.40,20.15
20452,-8.09,5.60,1.63,0.05,0.08,-0.31,17.00,-11.40,20.15
20591,-8.57,4.17,2.46,-0.14,0.16,-0.28,17.00,-11.40,20.15
20731,-8.69,4.32,1.39,0.05,-0.07,-0.24,17.00,-11.40,20.15
20871,-8.74,3.82,2.14,0.14,-0.01,-0.21,17.00,-11.40,20.15
21010,-8.75,4.41,1.59,0.26,-0.10,-0.32,17.00,-11.40,20.15
21156,-9.13,3.20,1.58,0.06,0.05,-0.22,17.00,-11.40,20.15
21295,-9.10,2.79,2.11,-0.06,0.07,-0.24,17.00,-11.40,20.15
21435,-9.19,3.10,1.27,0.14,0.01,-0.17,17.00,-11.40,20.15
21575,-9.25,3.05,1.76,-0.01,0.07,-0.06,17.00,-11.40,20.15
21714,-9.30,2.67,1.49,0.02,0.05,-0.06,17.00,-11.40,20.15
21854,-9.27,2.66,1.39,-0.15,0.09,-0.11,17.00,-11.40,20.15
21994,-9.31,2.86,1.50,0.09,-0.03,-0.08,17.00,-11.40,20.15
22133,-9.40,2.37,1.28,0.04,-0.02,0.01,17.00,-11.40,20.15
22273,-9.38,2.47,1.29,-0.01,-0.03,-0.02,17.00,-11.40,20.15
22434,-9.44,2.49,1.31,0.04,-0.02,0.03,17.00,-11.40,20.15
22578,-9.47,2.40,0.94,-0.00,-0.05,0.05,17.00,-11.40,20.15
22721,-9.51,2.24,1.06,0.05,0.04,0.08,17.00,-11.40,20.15
22865,-9.46,2.45,1.14,-0.04,-0.04,0.03,17.00,-11.40,20.15
23008,-9.41,2.61,0.87,0.00,-0.06,0.01,17.00,-11.40,20.15
23158,-9.38,2.51,1.09,0.06,-0.03,-0.00,17.00,-11.40,20.15
23301,-9.35,2.54,1.37,0.06,0.02,-0.01,17.00,-11.40,20.15
23445,-9.41,2.58,1.05,-0.03,-0.06,0.02,17.00,-11.40,20.15
23588,-9.36,2.75,0.98,0.00,-0.02,0.01,17.00,-11.40,20.15
23738,-9.41,2.67,1.00,0.07,-0.01,0.02,17.00,-11.40,20.15
23881,-9.41,2.64,0.95,0.02,-0.04,0.00,17.00,-11.40,20.15
24025,-9.36,2.81,1.06,-0.02,-0.06,0.00,17.00,-11.40,20.15
24168,-9.36,2.62,0.89,0.00,-0.03,0.01,17.00,-11.40,20.15
24312,-9.38,2.79,1.03,-0.01,-0.04,0.01,17.00,-11.40,20.15
24457,-9.41,2.60,0.89,0.03,-0.04,0.00,17.00,-11.40,20.15
24600,-9.41,2.61,1.10,0.03,-0.04,-0.01,17.00,-11.40,20.15
24744,-9.35,2.77,0.92,0.01,-0.04,0.01,17.00,-11.40,20.15
24893,-9.39,2.75,0.94,0.02,-0.07,0.03,17.00,-11.40,20.15
25037,-9.38,2.72,1.07,0.00,-0.01,0.01,17.00,-11.40,20.15
25180,-9.31,2.77,0.86,0.04,-0.05,-0.00,17.00,-11.40,20.15
25324,-9.43,2.63,0.89,-0.02,-0.02,0.01,17.00,-11.40,20.15
25467,-9.39,2.87,0.81,0.03,-0.05,-0.00,17.00,-11.40,20.15
25611,-9.35,2.79,0.91,0.03,-0.08,0.02,17.00,-11.40,20.15
25754,-9.37,2.79,0.60,0.02,-0.05,0.01,17.00,-11.40,20.15
25898,-9.34,2.83,0.99,0.05,-0.05,0.02,17.00,-11.40,20.15
26041,-9.30,2.98,1.03,-0.00,-0.04,-0.02,17.00,-11.40,20.15
26191,-9.30,2.90,0.90,0.02,-0.03,-0.01,17.00,-11.40,20.15
26334,-9.32,2.90,1.06,0.00,-0.02,-0.01,17.00,-11.40,20.15
26478,-9.40,2.84,0.73,0.01,-0.06,0.00,17.00,-11.40,20.15
26622,-9.34,2.86,0.88,0.02,-0.03,0.01,17.00,-11.40,20.15
26765,-9.33,2.91,0.79,0.02,-0.05,0.00,17.00,-11.40,20.15
26909,-9.34,2.89,1.02,-0.00,-0.02,-0.01,17.00,-11.40,20.15
27052,-9.43,2.72,0.80,0.03,-0.04,-0.00,17.00,-11.40,20.15
