timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,Unnamed: 10
12.34,-0.04994903160040774,-0.024464831804281342,0.9969418960244647,0.14,0.01,-0.09,32.52,-18.91,-38.22,
12.5,-0.10091743119266054,-0.012232415902140671,1.018348623853211,-0.22,0.35,-0.11,33.66,-19.31,-40.57,
12.67,-0.07441386340468908,-0.03873598369011213,0.9969418960244647,0.51,-0.51,-0.26,33.89,-21.84,-43.32,
12.83,-0.04281345565749235,0.17940876656472987,1.001019367991845,0.36,0.06,0.14,32.65,-26.38,-45.02,
13.0,-0.0764525993883792,0.061162079510703356,1.055045871559633,-0.15,-0.05,0.17,34.11,-28.12,-43.99,
13.16,-0.009174311926605503,0.15800203873598367,1.0713557594291538,-0.03,-0.19,-0.06,33.29,-28.69,-44.71,
13.32,0.07849133537206932,0.20897043832823647,0.9235474006116208,0.65,-0.86,-0.3,31.96,-31.13,-45.82,
13.48,0.109072375127421,0.12538226299694188,0.91131498470948,-0.04,-0.48,-0.04,27.65,-31.99,-46.07,
13.65,0.08664627930682976,0.19877675840978593,1.0519877675840978,-0.34,0.59,0.1,28.72,-31.22,-46.21,
13.82,0.09989806320081548,0.14678899082568805,0.981651376146789,-0.43,0.62,0.45,31.76,-29.58,-46.19,
13.98,-0.053007135575942915,0.09378185524974515,0.9633027522935779,0.6,-0.47,0.57,29.96,-29.82,-46.29,
14.14,-0.02854230377166157,0.05708460754332314,0.8786952089704382,-0.28,0.27,0.67,32.52,-30.3,-46.14,
14.31,-0.11213047910295618,0.03873598369011213,0.9194699286442405,-0.38,0.31,0.29,34.49,-28.75,-41.46,
14.47,-0.0927624872579001,0.07441386340468908,0.9673802242609582,0.16,0.21,0.19,35.38,-30.36,-43.92,
14.63,-0.07747196738022426,0.14780835881753313,0.9796126401630988,0.19,-0.16,-0.39,33.59,-33.1,-43.16,
14.79,-0.09683995922528031,0.08154943934760449,0.9745158002038736,-0.64,0.12,-0.33,33.53,-32.15,-44.31,
14.96,-0.08256880733944955,0.14780835881753313,0.9153924566768603,-0.43,0.06,0.34,32.36,-31.5,-45.6,
15.13,-0.04485219164118247,0.07237512742099897,0.9959225280326197,-0.22,0.5,0.08,34.0,-28.43,-45.72,
15.29,-0.07849133537206932,0.13863404689092762,1.0417940876656473,0.09,-0.45,-0.05,32.17,-31.58,-46.27,
15.45,0.0050968399592252805,0.11620795107033638,0.9541284403669724,0.81,-0.37,-0.53,30.82,-32.96,-45.91,
15.61,0.08766564729867482,0.09174311926605504,0.9867482161060142,-0.43,-0.17,-0.19,30.09,-30.3,-47.57,
15.78,0.03160040774719674,0.13557594291539246,0.9714576962283383,-0.21,-0.26,-0.06,30.42,-27.19,-47.54,
15.94,0.010193679918450561,-0.09072375127421,1.0234454638124362,-0.49,0.36,-0.16,31.32,-23.66,-47.82,
16.11,-0.03669724770642201,-0.048929663608562685,0.927624872579001,-0.68,0.05,-0.58,32.58,-19.44,-47.38,
