timestamp,filtered_x,filtered_y,filtered_z
9.88,-22.914441739225303,-9.549760082032279,9.758983906813956
10.04,-4.558866195227104,-4.336339765561966,1.4954738971206396
10.21,18.542256589865186,2.6472128090800555,-5.737086964241072
10.38,17.48974833328906,10.226983839294203,6.672493280219485
10.54,22.19485912471861,11.719720873743949,4.7526208366754785
10.7,21.11560252840902,7.534368987200702,4.030302380881991
10.87,17.966083973788837,-15.623843302260129,16.65102162586682
11.03,20.944616768594315,-28.41350079931612,24.930392640800115
11.19,-7.9390738367080225,-24.952922729802253,28.909666465459093
11.35,-46.678923201555,-56.246696514168875,22.510452970283364
11.52,-27.689970582611647,-30.867058436229108,-0.22061892575283082
11.69,-6.410514475067149,-39.49095338875273,4.2274506964769145
11.85,-46.2565165128655,-47.52735389752275,22.213808113604667
12.01,-40.848358655842006,-84.76985799333411,9.412664335026962
12.17,-40.22169523872512,-75.02129731835713,13.10741222709115
12.34,-42.149224358570876,-40.10401544542106,3.8254984646911563
12.5,-66.395080446696,-19.447753618828127,10.579255765494192
12.67,-68.2608354704105,-28.64082682595155,5.7642382589745225
12.83,-47.3434986883578,89.41693063065442,5.744147600399136
13.0,-60.40565603195757,74.21337017762815,42.82538537856131
13.16,-21.264593835210647,121.40615487400729,57.86420495516268
13.32,30.07391820869069,172.59885329091395,-34.95052008817453
13.48,67.81914433945093,142.6357220366151,-83.1650846081584
13.65,95.31273810256329,197.32082826610917,-4.071084918109392
13.82,110.3338878160758,182.43841433412751,-21.829299893083714
13.98,0.45290083334641906,129.734243877088,-26.39518908734861
14.14,-32.639604976604616,85.20318981374233,-92.6055720270598
14.31,-110.60138210758271,59.74139801405185,-94.14102336243788
14.47,-114.06255958282773,74.53118138267234,-51.94201197998512
14.63,-104.22224879238523,139.27175628185162,-26.030050317161745
14.79,-116.2140679794158,113.65556775931296,-26.62410920076029
14.96,-115.16919224989002,176.2680505657334,-91.02408735977511
15.13,-83.50298651544998,130.97397867793643,-40.06508898203578
15.29,-99.71127454142749,165.3713069765812,18.589909732442074
15.45,-32.384099929548114,161.2668575212831,-32.73508043146122
15.61,72.08791601632147,139.64029382691402,-22.327329640218025
15.78,64.90429526720825,191.84772450157422,-35.96190574647849
15.94,33.2228679317827,-22.68131633719824,11.885591001604986
16.11,-7.346909282980782,-69.98280871955623,-83.44005540694332
16.27,-33.4304559162951,-217.76370993653074,-60.17319150533971
16.43,-19.79979744576426,-221.76044329851433,-71.71291393360174
16.6,-83.11998251403557,-369.69313535750825,-124.57200302521876
16.76,-132.52355127581845,-503.20520030699856,-273.73731390986245
16.92,-246.85354871348494,-582.8403222742768,-276.9729079146906
17.08,-289.76384668272925,-611.0718649031675,-228.29218064103088
17.26,-119.8413728400478,-639.7965249947515,-55.59664924075571
17.42,-9.009423006129197,-596.1871248222022,-104.34143141629889
17.58,93.53548235804205,-456.15609623374075,-101.37883429023498
17.74,214.49172069230332,-317.8060655743993,27.28542137515427
17.91,205.42332527870397,-153.67212038232717,47.24588539118421
18.07,167.02845131360425,-156.00920781943918,124.21301936601407
18.23,315.57344937999443,-120.26758800228991,160.33247199757636
18.4,161.87238825432,258.4396557132999,89.91673574088907
18.56,76.7527702252002,36.080696542491296,72.981175316927
18.73,70.20012526071734,-120.34350276895395,-16.444129057888404
18.89,7.320048140953411,-169.6932610590933,4.208212613086431
19.05,9.934152644975349,-226.9717160359109,98.59874952551029
19.21,-13.507391348272298,-293.1559121424887,31.146447931266323
19.38,-136.91674532332047,-231.48297600732883,55.40590306264862
19.55,-107.67415451337082,-173.03148256022064,18.488815085939095
19.71,-189.33056016328544,-50.66739254753965,64.36331933950656
19.87,-274.0235478702989,-113.48965112909329,68.06640013662613
20.03,-281.3737646533089,-247.04551370522262,58.57253531923362
20.2,-365.35904629251934,-80.70521658252113,23.66644484965918
20.36,-207.51709142478816,-221.2188646754073,108.70171966785813
20.52,-207.90506710145775,-162.69618857483636,114.33330343750632
20.69,-181.28052177256387,-82.94699497241015,86.94569260527896
20.86,6.916612454153324,-1.387382586831066,123.70229195926282
21.02,47.03983775013769,-212.13567926587305,80.95511104197624
21.18,-61.31589136066593,-181.43528444669516,57.72507763231268
21.34,-267.3653295886548,-7.855526262318847,56.890819643304845
21.5,-234.06596436752474,220.6365266200317,-21.70985138109694
21.67,-54.31767229614957,596.0370831836628,-125.75171589713159
21.84,-60.42281594412851,457.8349935001819,-97.62483433638485
22.0,-155.05886402528847,412.1188424962835,-281.56502313575874
