x,y,z
0.04705596918066939,-0.9934037938141315,0.10456882040148716
-0.2170993671887763,-0.8742650192196667,-0.43419873437755274
-0.13099007106100374,-0.987735941243785,-0.08496653258011062
-0.09416510644851836,-0.9758929213755541,-0.1968906771196289
-0.24577768117096768,-0.9541957033696392,-0.17059862575396575
-0.3416755645836875,-0.8833563377041677,-0.3208416886944381
-0.43317860577102213,-0.8863193592734279,-0.16368961139734484
-0.4134552279575735,-0.907939369936983,-0.06856292724924587
-0.016027834242017612,-0.9990683344190978,0.040069585605044124
0.007411158554318012,-0.9807433153547502,-0.1951605085970408
0.19752585197855294,-0.9552479726831659,-0.22019275302527203
0.5220954185563308,-0.8488745654225234,0.08263380725352022
0.5181060408985341,-0.852979457576855,0.06318366352421126
0.3639698144422086,-0.8859791535764289,0.2873445903491119
0.7298660716530027,-0.6221809135402646,0.2831720824446079
0.27999999999999997,0.79,0.13000000000000078
0.0978283986189618,-0.9848058794308822,0.14348165130781107
0.1315406931724936,-0.9786627572033523,-0.1578488318069927
-0.05839756777747362,-0.9980675220150036,0.021235479191809077
0.045595127344963356,-0.962057186978727,0.26901125133528375
-0.04214310387425131,-0.9987915618197561,-0.025285862324550996
-0.37867878458166304,-0.9173626894090993,0.12267059218842628
-0.19353227685976468,-0.9805635360894744,-0.032255379476627905
-0.6545887427670202,-0.7207831100131233,0.22800282051435572
-0.5905070943269182,-0.7989213629128892,0.1141316232732701
-0.42353478825649443,-0.9040838749321323,0.05701429841914371
-0.7972701405503106,-0.6025171291181737,-0.03651618964352598
-0.19494569241557505,-0.9520603583086225,0.23574827920023012
-0.44755466044712977,-0.8715538124496738,0.20022182177897901
-0.41483546633619484,-0.9001146911068377,0.13306043259840206
0.26012091832023654,-0.8767038358200564,0.4046325396092567
0.07967796878181291,-0.9936311401026081,0.07967796878181288
-0.27255687323242067,-0.9601435307051184,0.06194474391645903
-0.8549284737632874,-0.5170938349374722,0.04136750679499812
-0.63,0.030000000000000027,-0.33999999999999986
0.17163027152438312,0.9071885780574538,-0.38412489341171513
-0.16,-0.06000000000000005,-0.2599999999999998
-0.29016934836206076,0.06872431934890919,-0.9545044354015156
-0.3929981479355875,0.9169956785163709,0.0683475039887984
-0.9861522050454887,0.15653209603896642,0.054786233613638484
-0.980574871704074,-0.12042147547243011,-0.15482761132169565
-0.32,-0.61,-0.3000000000000007
-0.9626577400489333,0.1239786483396353,-0.24066443501223336
-0.9943622073011927,0.09308922791755847,-0.050775942500486115
-0.991442282273053,-0.12348925224041586,-0.04233917219671374
-0.6682803731662447,0.11733166857117272,-0.734598272793429
-0.85,0.19999999999999996,-0.14000000000000057
-0.6442747822248965,0.17965354504348077,-0.7433939794902648
-0.6509039963474333,0.18187023427354748,-0.7370530546875343
-0.8228324405600009,-0.5541524599689802,-0.12594374090204125
-0.696938159415404,-0.7167375389442509,-0.023759255434616246
-0.8387212888233644,-0.4163864554442234,0.35095429816013113
-0.895336031703078,-0.4260066602458194,0.12996813363431756
-0.32,-0.17000000000000004,0.7599999999999998
-0.6760571658787814,-0.7261354744623948,-0.12519577145903388
-0.5670539705527781,-0.17624650436099856,-0.8046036068654289
-0.8712039019093473,-0.48251293028825387,-0.09047117442904747
-0.9204290692265886,0.3083210675241775,-0.24030906733502042
-0.12,-0.52,0.4499999999999993
-0.44,0.18999999999999995,-0.7599999999999998
-0.8306991887489177,-0.5564878060551001,-0.016130081334930095
-0.0673466196427382,-0.5916881582897714,-0.8033489628812343
-0.36460135896835233,-0.7492357596382625,0.5529119509629962
0.09730005144657118,-0.989217189706807,-0.10946255787739241
-0.8946044063380809,-0.42881864105461737,-0.12568822237807745
-0.8690052047130502,-0.46302207818687613,-0.17447208743273582
-0.74,-0.31000000000000005,0.5600000000000005
-0.4894198099145955,-0.870079662070392,0.058563054177815085
-0.4525139426666788,-0.8859075778967376,-0.101974972995308
-0.26,-0.64,0.2900000000000009
-0.4407388568970626,-0.8965029020974341,-0.045075564909926785
-0.32384108092805985,-0.9424605816752512,0.08303617459693813
-0.4444206313911831,-0.8934706443593577,0.06481134207788113
-0.30386509883517576,-0.9453580852649912,0.11816976065812379
-0.13172556923067263,-0.9879417692300445,0.08135991040718048
-0.15626221027781528,-0.9871198161452234,0.034301460792691106
