Time(ms),AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
50621,9.19,-2.7,2.29,-0.05,-0.05,-0.03
50765,9.33,-2.56,1.85,-0.0,-0.06,-0.01
50909,9.29,-2.57,1.42,0.02,-0.14,-0.07
51053,9.32,-2.64,1.91,0.03,-0.16,-0.03
51203,9.27,-2.41,0.87,0.46,-0.48,-0.11
51346,9.43,-1.89,0.14,0.9,-0.67,-0.22
51491,9.68,-1.6,0.21,0.14,-0.1,-0.17
51635,9.81,-1.43,0.63,-0.02,-0.12,-0.12
51780,9.61,-1.34,0.28,0.03,-0.06,-0.03
51924,9.73,-1.3,-0.1,0.07,-0.06,0.01
52069,9.62,-1.35,0.16,0.06,-0.09,0.0
52213,9.63,-1.43,0.17,0.02,0.02,-0.0
52363,9.68,-1.37,0.52,-0.02,-0.04,0.0
52507,9.55,-1.51,0.39,-0.01,0.01,0.03
52652,9.65,-1.54,0.18,0.01,-0.05,-0.0
52796,9.5,-1.53,0.74,-0.01,-0.02,0.02
52940,9.6,-1.56,0.23,-0.02,-0.04,-0.03
53083,9.62,-1.65,0.38,0.01,-0.02,-0.02
53227,9.64,-1.2,0.54,-0.01,-0.02,-0.0
53371,9.61,-1.58,0.55,-0.02,-0.06,0.02
53514,9.59,-1.48,0.21,0.03,-0.1,0.02
53664,9.46,-1.72,0.38,0.04,-0.12,-0.0
53807,9.83,-1.25,0.32,0.0,-0.02,-0.05
53951,9.57,-1.51,0.42,0.02,-0.09,0.01
54094,9.61,-1.51,0.44,-0.01,-0.01,-0.01
54238,9.63,-1.41,0.43,0.01,-0.04,-0.02
54381,9.67,-1.38,0.38,0.01,-0.04,-0.02
54525,9.69,-1.29,0.35,0.03,-0.04,-0.0
54668,9.59,-1.47,0.61,0.0,-0.05,-0.0
54812,9.7,-1.5,0.62,-0.0,-0.02,0.01
54961,9.59,-1.46,0.44,0.01,-0.02,0.01
55105,9.63,-1.44,0.45,0.02,-0.03,-0.0
55250,9.6,-1.41,0.54,0.02,-0.04,-0.03
55393,9.58,-1.53,0.76,0.03,-0.03,-0.01
55537,9.68,-1.39,0.9,0.01,0.01,-0.0
55680,9.63,-1.34,0.66,0.01,-0.06,0.0
55824,9.58,-1.37,0.42,0.02,-0.03,-0.0
55969,9.62,-1.46,0.75,0.03,-0.05,-0.01
56119,9.65,-1.45,0.77,0.03,-0.03,-0.02
56262,9.64,-1.37,0.94,-0.01,-0.03,-0.02
56406,9.67,-1.41,0.66,0.01,-0.03,-0.0
56549,9.67,-1.5,0.93,0.02,-0.03,0.0
56693,9.63,-1.45,0.79,0.01,-0.0,0.01
56836,9.7,-1.33,0.82,0.01,-0.03,-0.0
56980,9.62,-1.38,0.84,0.02,-0.03,-0.01
57124,9.7,-1.48,0.82,0.01,-0.04,-0.01
57267,9.61,-1.46,0.86,0.03,-0.06,0.0
57416,9.65,-1.38,0.78,0.01,-0.06,-0.01
57560,9.63,-1.32,0.82,0.01,-0.04,0.0
57704,9.6,-1.43,0.72,0.02,-0.05,-0.02
57847,9.63,-1.42,0.84,0.02,-0.06,-0.0
57997,9.6,-1.46,0.69,0.02,-0.05,0.0
58140,9.54,-1.41,0.66,0.02,-0.03,-0.0
58284,9.47,-1.23,0.67,0.03,-0.11,-0.04
58427,9.79,-1.15,0.94,0.05,-0.01,-0.06
58571,9.66,-1.32,1.2,0.03,-0.03,0.0
58720,9.62,-1.21,0.97,-0.01,0.03,0.03
58864,9.61,-1.09,1.03,-0.03,-0.05,0.02
59007,9.64,-1.17,0.9,0.02,-0.09,-0.04
59151,9.68,-1.27,1.03,0.0,-0.03,0.02
59294,9.57,-1.33,0.94,0.02,-0.02,-0.0
59438,9.7,-1.21,0.99,0.01,-0.03,-0.01
59583,9.6,-1.45,0.98,0.01,-0.03,-0.0
59726,9.6,-1.3,0.97,0.0,-0.03,-0.0
59870,9.61,-1.15,0.99,0.01,-0.04,0.0
60019,9.64,-1.19,1.13,0.02,-0.03,-0.01
60163,9.66,-1.21,1.16,0.02,-0.04,-0.02
60307,9.69,-1.23,1.12,0.02,-0.03,-0.02
60451,9.68,-1.22,1.1,0.02,-0.0,-0.01
60594,9.7,-1.23,1.04,0.01,-0.03,-0.01
60738,9.56,-1.32,1.04,0.01,-0.07,0.01
60881,9.66,-1.11,1.18,0.01,-0.05,-0.02
61025,9.65,-1.23,1.11,0.01,-0.02,-0.01
61174,9.63,-1.23,1.02,-0.01,-0.0,0.01
61318,9.62,-1.22,0.92,0.02,-0.05,-0.01
61461,9.62,-1.23,1.13,0.02,-0.06,0.0
61605,9.59,-1.36,1.21,0.0,-0.04,0.01
61749,9.64,-1.15,0.99,-0.01,-0.04,-0.01
61892,9.64,-1.13,1.1,0.01,-0.04,0.0
62036,9.62,-1.17,1.21,0.01,-0.04,-0.0
62180,9.63,-1.22,1.2,0.0,-0.01,0.0
62324,9.64,-1.17,0.92,0.01,-0.03,0.01
62496,9.61,-1.2,0.96,0.01,-0.05,-0.01
62640,9.64,-1.33,0.98,0.01,-0.03,-0.02
62785,9.68,-1.37,1.13,0.02,-0.05,0.0
62929,9.62,-1.4,1.07,0.02,-0.05,-0.01
63074,9.59,-1.22,1.06,0.01,-0.06,-0.0
63218,9.61,-1.2,1.01,0.02,-0.07,-0.01
63362,9.62,-1.25,1.07,0.01,-0.06,-0.01
63505,9.69,-0.64,-0.31,0.07,0.32,0.12
63649,9.17,-1.32,1.74,0.14,0.7,0.33
63798,7.88,-1.42,2.51,0.25,1.53,0.6
63942,5.64,-2.57,7.71,0.2,1.98,0.75
64085,4.65,-2.74,7.29,0.32,1.26,0.47
64229,2.27,-3.37,10.05,0.26,1.29,0.28
64373,1.98,-2.53,9.98,0.24,0.62,-0.01
64516,0.72,-2.22,9.66,0.22,0.74,0.2
64660,0.23,-2.22,9.26,0.23,0.32,0.17
64803,-0.16,-2.3,9.82,0.1,0.1,0.04
64947,-0.38,-1.77,9.63,-0.03,0.1,0.12
65096,-0.6,-2.15,9.32,0.01,-0.02,0.13
65240,-0.98,-2.67,10.17,-0.05,0.01,0.1
65383,-1.04,-1.94,9.33,0.14,-0.0,0.13
65527,-1.24,-2.17,9.55,0.05,-0.14,0.12
65670,-1.07,-2.07,9.81,-0.01,-0.03,0.09
65814,-0.99,-1.72,9.74,-0.02,-0.06,0.1
65958,-1.07,-1.96,9.89,0.02,-0.07,0.01
66101,-0.98,-1.76,9.7,0.16,-0.06,0.02
66250,-0.85,-1.72,9.74,0.05,-0.14,-0.02
66394,-0.75,-1.62,9.92,0.06,-0.07,-0.03
66538,-0.75,-1.62,9.66,0.05,-0.09,-0.05
66681,-0.69,-1.57,9.9,0.02,-0.07,-0.0
66825,-0.68,-1.56,9.69,0.03,-0.07,-0.01
66968,-0.73,-1.57,9.92,0.04,-0.06,-0.01
67112,-0.66,-1.59,9.91,-0.02,-0.05,-0.01
67255,-0.75,-1.41,9.62,-0.01,-0.03,-0.0
67399,-0.68,-1.41,9.83,0.01,-0.05,0.01
67548,-0.69,-1.5,9.74,0.04,0.01,-0.0
67692,-0.72,-1.44,9.66,0.04,-0.05,0.01
67835,-0.73,-1.46,9.96,0.04,-0.07,-0.01
67979,-0.78,-1.45,9.55,0.11,-0.03,-0.04
68123,-0.68,-1.33,9.95,0.02,-0.04,-0.0
68266,-0.67,-1.29,9.69,0.05,-0.07,-0.03
68410,-0.65,-1.11,9.84,0.07,-0.05,0.0
68553,-0.77,-1.22,9.73,0.02,-0.02,0.02
68703,-0.69,-1.18,9.57,0.02,-0.05,0.02
68846,-0.66,-1.19,10.04,0.01,-0.05,0.0
68990,-0.73,-1.25,9.65,0.01,-0.03,0.02
69133,-0.82,-1.24,9.83,-0.01,-0.05,-0.01
